#tic_id,n_sectors,n_outbursts,n_flares,ampl_max,ampl_mean,fwhm_max,fwhm_mean,bol_energy_max,bol_energy_mean,M_CME_max,M_CME_mean,tessmag,teff,radius,logg,type,tess_rot,kelt_rot,rot,FFD_alpha,FFD_beta,preb_chem,ozone_depl_cons,ozone_depl_perm,duplicates
117545157,1,1,2,0.8930012720100438,0.544590932081914,0.004818519693007246,0.0038405985946963076,3.0965276015536164e+33,2.182275394027071e+33,1.3453664074329635e+20,1.1786527543713894e+20,14.1348,3014.0,0.31815,4.90618,M4-M10,4.551111,nan,4.551111,nan,nan,0,0,0,0
117549840,1,4,5,0.1720541728690916,0.10421088499577011,0.07294241430985235,0.031025107246195817,7.819027614861112e+34,3.1274104825797936e+34,1.3807097658704428e+21,4.707355759145408e+20,12.1607,3566.0,0.566522,4.67973,M0-M4,0.332995,nan,0.332995,-0.2744921806799636,8.389653843255166,1,0,1,0
117874958,1,5,6,1.3311824560843217,0.47138100463486915,0.007268767668490293,0.00400528138779764,1.5317806352912397e+34,5.1475217005658376e+33,6.783347135540358e+20,2.5414539205693512e+20,11.5091,3246.0,0.452122,4.77963,M0-M4,nan,nan,nan,-0.9283564353195909,30.24042162866607,0,0,0,117874959
117874959,1,16,18,0.5574233355144949,0.06446526726087226,0.06387116843617224,0.008368539181688646,2.102920685098188e+34,3.3064470813444587e+33,5.8764841552187084e+20,1.798661355020942e+20,10.2428,3560.0,0.641336,4.6167,M0-M4,nan,nan,nan,-0.9372318371309462,30.68732796498533,0,0,0,117874958
118327563,1,1,1,0.012406580388407609,0.012406580388407609,0.005616468510777589,0.005616468510777589,3.0504136041066755e+34,3.0504136041066755e+34,1.0815003552286268e+21,1.0815003552286268e+21,10.515,26300.0,0.254,5.3005,nan,0.228717,nan,0.228717,nan,nan,0,0,0,0
118585716,1,2,2,0.16956041757744855,0.16736871994085553,0.019817874180211466,0.015435092007724577,1.0623994161239573e+34,8.641852956504427e+33,3.677633427765806e+20,3.35844926197504e+20,14.2923,3223.0,0.421081,4.80745,M0-M4,nan,nan,nan,nan,nan,0,0,0,0
120442975,1,2,3,0.7032325134413416,0.37839229314695605,0.017184011312938334,0.007347278915276214,3.6380406002050973e+33,1.465782287892816e+33,2.0052910018319155e+20,9.846947967966516e+19,13.975,3032.0,0.217907,5.0334,M4-M10,0.520127,nan,0.520127,nan,nan,0,0,0,0
120488589,1,2,3,0.22128874836675724,0.09899691148294341,0.024147919611374028,0.010762345149558651,nan,nan,nan,nan,12.055,nan,0.276,4.97491,nan,3.309899,nan,3.309899,nan,nan,0,0,0,0
120506718,1,2,3,0.1937995496015173,0.0889936980867038,0.006409406991259477,0.005295059645092919,4.0642292031529115e+32,2.1839203562061605e+32,9.429546122994811e+19,4.645703740521449e+19,12.6923,3117.0,0.188827,5.08489,M4-M10,1.611013,nan,1.611013,nan,nan,0,0,0,0
120522722,1,1,1,0.5531514888239675,0.5531514888239675,0.0011462172716757574,0.0011462172716757574,3.0879377939098164e+32,3.0879377939098164e+32,4.251219195930321e+19,4.251219195930321e+19,14.3025,2843.0,0.219762,5.03044,M4-M10,0.100378,nan,0.100378,nan,nan,0,0,0,0
120566166,1,1,1,0.006795001777947278,0.006795001777947278,0.004167078306904911,0.004167078306904911,1.766392296504907e+33,1.766392296504907e+33,2.4729986635094947e+20,2.4729986635094947e+20,9.6056,4808.0,0.75495,4.57433,FGK,nan,nan,nan,nan,nan,0,0,0,0
120609299,1,1,1,0.14751548042522447,0.14751548042522447,0.00170268807133838,0.00170268807133838,8.03158969464773e+31,8.03158969464773e+31,1.822128085048075e+19,1.822128085048075e+19,13.3436,3019.0,0.161797,5.14359,M4-M10,nan,nan,nan,nan,nan,0,0,0,0
121420805,1,1,1,0.03898483439107655,0.03898483439107655,0.011526177591133563,0.011526177591133563,1.001889913658461e+36,1.001889913658461e+36,9.944213137398363e+21,9.944213137398363e+21,11.3169,7942.0,1.81447,4.2016,nan,1.717654,nan,1.717654,nan,nan,0,0,0,0
126748132,1,1,1,0.0068393240253495895,0.0068393240253495895,0.008647719937132465,0.008647719937132465,1.0810619591400922e+35,1.0810619591400922e+35,1.5844757397961764e+21,1.5844757397961764e+21,9.8266,6885.1,1.90978,4.05219,FGK,1.381742,nan,1.381742,nan,nan,0,0,0,0
126766627,1,2,2,0.006154724657154438,0.0042981582131281625,0.0038121745207887053,0.0035765213059317912,1.6562388529775346e+34,1.27944781159946e+34,6.179732323933153e+20,4.783657505514103e+20,7.8597,6801.0,1.43555,4.28838,FGK,nan,nan,nan,nan,nan,0,0,0,0
126805047,1,21,26,0.5472765944194529,0.11932787995141354,0.0285188648426467,0.003970578906080746,nan,nan,nan,nan,11.94,nan,nan,nan,nan,0.481599,nan,0.481599,nan,nan,0,0,0,0
126945045,1,6,6,0.4710334127886837,0.18973572177450038,0.0035506556329825746,0.0020417183957922194,2.037522620838559e+33,9.242105267221667e+32,1.6871009568547314e+20,9.034315184637072e+19,13.1484,3156.0,0.382351,4.84302,M4-M10,0.409895,nan,0.409895,-0.7775725433256673,24.593550696243884,0,0,0,0
129646813,1,5,7,0.5748649506796594,0.21171272641594768,0.023063511898185785,0.007323135309585797,nan,nan,nan,nan,13.032,nan,0.31,4.94,nan,nan,nan,nan,nan,nan,0,0,0,0
129678819,1,1,1,0.02129846211696859,0.02129846211696859,0.00567970807046705,0.00567970807046705,9.987401055408692e+32,9.987401055408692e+32,9.286372995810304e+19,9.286372995810304e+19,12.0635,3512.0,0.495699,4.74117,M0-M4,nan,nan,nan,nan,nan,0,0,0,0
137772485,1,1,1,0.02166332603071887,0.02166332603071887,0.010132648893488782,0.010132648893488782,3.4849774662619833e+34,3.4849774662619833e+34,1.1431635942661693e+21,1.1431635942661693e+21,10.2403,4857.0,1.07505,4.27283,FGK,4.551111,nan,4.551111,nan,nan,0,0,0,0
137801807,1,1,1,0.04279757941637033,0.04279757941637033,0.006461175467732944,0.006461175467732944,9.369900730243525e+32,9.369900730243525e+32,1.1701531623422945e+20,1.1701531623422945e+20,12.9252,3257.0,0.408067,4.81927,M0-M4,nan,nan,nan,nan,nan,0,0,0,0
139090254,1,7,8,0.08722771746828843,0.037535693963613656,0.02078463331986855,0.005574232750585014,nan,nan,nan,nan,10.882,nan,nan,nan,nan,0.530742,nan,0.530742,nan,nan,0,0,0,0
139131482,1,2,2,0.007407939651006529,0.005358746771518324,0.016843528176368867,0.015432726989299188,1.029535160711277e+35,7.91489212901827e+34,2.1868185728684248e+21,1.8852979712418107e+21,9.187,4987.0,2.60377,nan,FGK,0.1583,nan,0.1583,nan,nan,0,0,0,0
139233425,1,3,3,0.014289881124093701,0.007412303777521713,0.016996624675047745,0.00886248689784763,1.6304810399341574e+34,1.0266292473207371e+34,5.419229668987774e+20,3.971447144823789e+20,8.6139,5775.0,0.946075,4.49905,FGK,nan,5.86579,5.86579,nan,nan,0,0,0,0
139285666,1,1,1,0.002556772395401125,0.002556772395401125,0.003997448965703902,0.003997448965703902,1.4503561313269608e+33,1.4503561313269608e+33,1.0606433846975323e+20,1.0606433846975323e+20,8.1197,5561.91,0.854082,4.56629,FGK,0.349079,5.25541,0.349079,nan,nan,0,0,0,0
139300806,1,1,1,0.015123565600197416,0.015123565600197416,0.0027833235587130306,0.0027833235587130306,6.118686665611335e+33,6.118686665611335e+33,2.230575327424567e+20,2.230575327424567e+20,9.388,5485.0,0.869952,4.54135,FGK,3.309899,nan,3.309899,nan,nan,0,0,0,0
139300891,2,2,2,0.009950905281947423,0.007796500780143583,0.006529616365420071,0.00561020910308877,8.352299146451718e+33,8.109462825755461e+33,3.90021682445312e+20,3.566507831648661e+20,9.901,5380.0,0.981901,nan,FGK,0.9112914999999999,0.908199,0.9112914999999999,nan,nan,0,0,0,0
139328314,1,1,1,0.006164130954545204,0.006164130954545204,0.0009432264633175242,0.0009432264633175242,nan,nan,nan,nan,9.438,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
139722169,1,2,2,0.021203052632464216,0.020224110747894992,0.006822241295557985,0.00609147199230098,1.8645820572601834e+32,1.6440116316961218e+32,3.593830379557528e+19,3.067620343468525e+19,12.291,3251.0,0.26602,4.96553,M0-M4,0.471962,nan,0.471962,nan,nan,0,0,0,0
139763851,1,7,7,0.14773031695238606,0.06753128918791039,0.011509698013616178,0.005556596786854822,2.1651356339787312e+32,1.2612793868411815e+32,4.9774662561775305e+19,2.7623072986761286e+19,12.6371,3052.0,0.17858,5.10571,M4-M10,nan,nan,nan,-1.2729614166742054,39.89564314037921,0,0,0,0
139804406,1,3,4,0.27526340755243384,0.17325095452095995,0.0018808935381306206,0.0015480833532295793,1.553802268618767e+32,1.142185465273109e+32,3.630611729535153e+19,2.423508455974689e+19,13.4249,3046.0,0.183099,5.09633,M4-M10,0.457255,nan,0.457255,nan,nan,0,0,0,0
139804696,1,7,7,0.3362325815957423,0.14130755440871073,0.007665673740009382,0.003434715681956679,2.0696640546210925e+33,1.039869420012259e+33,1.647799653039931e+20,8.930261267252075e+19,12.5071,3149.0,0.375811,4.84916,M4-M10,0.883309,nan,0.883309,-0.7059236621680581,22.379954315170163,0,0,0,0
